# Parsed DOID file.
# Columns are source id, dest id.
DOID:0060278	DOID:0060264
DOID:0060279	DOID:0060264
DOID:0060280	DOID:3952
DOID:0060281	DOID:1826
DOID:0060283	DOID:37
DOID:0060284	DOID:582
DOID:0060286	DOID:700
DOID:0060287	DOID:10124
DOID:0060293	DOID:2581
DOID:0060295	DOID:626
DOID:0060297	DOID:626
DOID:0060298	DOID:626
DOID:0060299	DOID:626
DOID:0060300	DOID:626
DOID:0060301	DOID:626
DOID:0060302	DOID:626
DOID:0060303	DOID:626
DOID:0060307	DOID:0050889
DOID:0060308	DOID:0050889
DOID:0060309	DOID:0050888
DOID:0060310	DOID:974
DOID:0060311	DOID:974
DOID:0060312	DOID:1762
DOID:0060313	DOID:3225
DOID:0060314	DOID:9942
DOID:0060315	DOID:403
DOID:0060316	DOID:4501
DOID:0060317	DOID:850
DOID:0060318	DOID:9119
DOID:0060319	DOID:6000
DOID:0060320	DOID:5295
DOID:0060321	DOID:5295
DOID:0060322	DOID:3342
DOID:0060323	DOID:3463
DOID:0060324	DOID:1091
DOID:0060325	DOID:2253
DOID:0060326	DOID:0080016
DOID:0060327	DOID:0080015
DOID:0060328	DOID:1285
DOID:0060329	DOID:229
DOID:0060330	DOID:0050736
DOID:0060331	DOID:700
DOID:0060332	DOID:700
DOID:0060333	DOID:700
DOID:0060334	DOID:11717
DOID:0060335	DOID:8955
DOID:0060338	DOID:3246
DOID:0060339	DOID:225
DOID:0060340	DOID:630
DOID:0060341	DOID:0080015
DOID:0060342	DOID:1934
DOID:0060343	DOID:11476
DOID:0060344	DOID:2722
DOID:0060345	DOID:11102
DOID:0060351	DOID:700
DOID:0060353	DOID:0060379
DOID:0060355	DOID:332
DOID:0060359	DOID:12960
DOID:0060360	DOID:161
DOID:0060361	DOID:3390
DOID:0060365	DOID:225
DOID:0060367	DOID:14330
DOID:0060368	DOID:14330
DOID:0060369	DOID:14330
DOID:0060370	DOID:14330
DOID:0060371	DOID:14330
DOID:0060372	DOID:14330
DOID:0060379	DOID:1934
DOID:0060388	DOID:0080014
DOID:0060391	DOID:0060388
DOID:0060392	DOID:0060388
DOID:0060393	DOID:0060388
DOID:0060396	DOID:0060388
DOID:0060398	DOID:0060388
DOID:0060399	DOID:0060388
DOID:0060400	DOID:0060388
DOID:0060401	DOID:0060388
DOID:0060403	DOID:0060388
DOID:0060404	DOID:0060388
DOID:0060405	DOID:0060388
DOID:0060406	DOID:0060388
DOID:0060408	DOID:0060388
DOID:0060409	DOID:0060388
DOID:0060411	DOID:0060388
DOID:0060412	DOID:0060388
DOID:0060413	DOID:0060388
DOID:0060414	DOID:0060388
DOID:0060415	DOID:0060388
DOID:0060416	DOID:0060388
DOID:0060417	DOID:0060388
DOID:0060420	DOID:0060388
DOID:0060421	DOID:0060388
DOID:0060422	DOID:0060388
DOID:0060423	DOID:0060388
DOID:0060424	DOID:0060388
