DOID:9620	MESH:D014718
DOID:11038	MESH:D003861
DOID:6977	MESH:D003969
DOID:11030	MESH:D015715
DOID:11037	MESH:D000647
DOID:8651	MESH:D006689
DOID:1754	MESH:D008946
DOID:0060280	MESH:C566469
DOID:0060280	MESH:C566472
DOID:0060284	MESH:D006457
DOID:10817	MESH:D012448
DOID:6576	MESH:D020339
DOID:5075	MESH:D004806
DOID:5077	MESH:D001254
DOID:5076	MESH:D005910
DOID:5078	MESH:D018303
DOID:9230	MESH:D011146
DOID:4	MESH:D004194
DOID:1273	MESH:D018357
DOID:9976	MESH:D006556
DOID:9970	MESH:D009765
DOID:2645	MESH:D008654
DOID:9972	MESH:D006986
DOID:9406	MESH:D007018
DOID:4897	MESH:D001650
DOID:9402	MESH:D004823
DOID:2742	MESH:D004427
DOID:9409	MESH:D003919
DOID:1358	MESH:D008444
DOID:365	MESH:D001745
DOID:5222	MESH:D004684
DOID:1350	MESH:D010255
DOID:1352	MESH:D010254
DOID:14484	MESH:D013174
DOID:13386	MESH:C571911
DOID:1222	MESH:D002357
DOID:13382	MESH:D000749
DOID:11853	MESH:D005099
DOID:1227	MESH:D009503
DOID:1229	MESH:D012563
DOID:12397	MESH:D004774
DOID:13140	MESH:D015829
DOID:3362	MESH:D003323
DOID:12399	MESH:D005715
DOID:9153	MESH:D012899
DOID:12550	MESH:D006501
DOID:0050120	MESH:D051359
DOID:12554	MESH:D006463
DOID:12557	MESH:D004370
DOID:0050651	MESH:D004694
DOID:12558	MESH:D017246
DOID:9574	MESH:C562435
DOID:9574	MESH:D002754
DOID:5672	MESH:D015179
DOID:14735	MESH:D054179
DOID:5679	MESH:D012164
DOID:210	MESH:D036982
DOID:216	MESH:D003731
DOID:1532	MESH:D010995
DOID:5850	MESH:D056989
DOID:10540	MESH:C535648
DOID:7033	MESH:D017129
DOID:9352	MESH:D003924
DOID:2741	MESH:D006932
DOID:2741	MESH:D006933
DOID:813	MESH:D001170
DOID:8675	MESH:D008228
DOID:5453	MESH:D011668
DOID:4109	MESH:D013984
DOID:5050	MESH:D002286
DOID:4588	MESH:D008579
DOID:4587	MESH:D008579
DOID:3910	MESH:C538231
DOID:3911	MESH:D011371
DOID:4618	MESH:D008441
DOID:4617	MESH:D010484
DOID:14069	MESH:D016779
DOID:4610	MESH:D007414
DOID:2747	MESH:D006008
DOID:5062	MESH:D010623
DOID:0050908	MESH:D009190
DOID:3049	MESH:D015267
DOID:0050902	MESH:D008527
DOID:0050902	MESH:D018242
DOID:3047	MESH:D014924
DOID:3044	MESH:D005512
DOID:11701	MESH:D017098
DOID:11702	MESH:D004406
DOID:3689	MESH:D020968
DOID:4030	MESH:C535952
DOID:4031	MESH:C535952
DOID:13565	MESH:D020953
DOID:13564	MESH:D001228
DOID:13561	MESH:D015594
DOID:3683	MESH:D008175
DOID:12176	MESH:D006042
DOID:1826	MESH:D004827
DOID:1827	MESH:D004829
DOID:1824	MESH:D013226
DOID:12170	MESH:D020425
DOID:9192	MESH:D015154
DOID:1039	MESH:D015463
DOID:4922	MESH:C537535
DOID:4926	MESH:D002282
DOID:4927	MESH:D018285
DOID:4928	MESH:C535533
DOID:4929	MESH:D000230
DOID:0050835	MESH:D004422
DOID:0050835	MESH:D020821
DOID:12375	MESH:D001996
DOID:12377	MESH:D009134
DOID:8649	MESH:D014062
DOID:2409	MESH:D012227
DOID:963	MESH:C580065
DOID:962	MESH:D009455
DOID:11633	MESH:D018382
DOID:3463	MESH:D001941
DOID:11634	MESH:D009230
DOID:3108	MESH:D001198
DOID:4322	MESH:D049309
DOID:11638	MESH:D011305
DOID:4320	MESH:D031954
DOID:4327	MESH:D008379
DOID:4325	MESH:D019142
DOID:3868	MESH:D008527
DOID:3869	MESH:D008527
DOID:3864	MESH:D008527
DOID:3861	MESH:D008527
DOID:2312	MESH:D009617
DOID:13778	MESH:D002602
DOID:2316	MESH:D002545
DOID:13774	MESH:D000224
DOID:14004	MESH:D017545
DOID:11527	MESH:D007829
DOID:3262	MESH:D010585
DOID:10039	MESH:D009494
DOID:10035	MESH:D009494
DOID:10032	MESH:D019568
DOID:2799	MESH:D001989
DOID:2797	MESH:D011658
DOID:2790	MESH:D009332
DOID:7566	MESH:D057090
DOID:10159	MESH:D010020
DOID:526	MESH:D015658
DOID:9650	MESH:D009759
DOID:10156	MESH:D007078
DOID:10155	MESH:D007414
DOID:11459	MESH:D011559
DOID:13603	MESH:D041781
DOID:92	MESH:D013064
DOID:93	MESH:D007806
DOID:2223	MESH:D010981
DOID:2222	MESH:D005171
DOID:3312	MESH:D001714
DOID:13608	MESH:D001656
DOID:7166	MESH:D013966
DOID:2228	MESH:D013922
DOID:3314	MESH:D018207
DOID:3315	MESH:D008067
DOID:3315	MESH:D018205
